,gia
3/1/2017,85
4/1/2017,85
5/1/2017,109
6/1/2017,115
7/1/2017,121
8/1/2017,121
9/1/2017,120
10/1/2017,120
11/1/2017,120
12/1/2017,125
1/1/2018,89
2/1/2018,81
3/1/2018,99
4/1/2018,110
5/1/2018,118
6/1/2018,119
7/1/2018,133
8/1/2018,130
9/1/2018,133
10/1/2018,131
11/1/2018,126
12/1/2018,124
1/1/2019,123
2/1/2019,132
3/1/2019,133
4/1/2019,135
5/1/2019,147
6/1/2019,156
7/1/2019,160
8/1/2019,159
9/1/2019,159
10/1/2019,163
11/1/2019,158
12/1/2019,158
1/1/2020,151
2/1/2020,163
3/1/2020,171
4/1/2020,164
5/1/2020,195
6/1/2020,189
7/1/2020,193
8/1/2020,194
9/1/2020,195
10/1/2020,194
11/1/2020,195
12/1/2020,195
1/1/2021,198
2/1/2021,197
3/1/2021,195
4/1/2021,193
5/1/2021,197
6/1/2021,198
7/1/2021,195
8/1/2021,196
9/1/2021,197
10/1/2021,197
11/1/2021,196
12/1/2021,198
1/1/2022,198
2/1/2022,198
3/1/2022,200
4/1/2022,193
5/1/2022,192
6/1/2022,213.661178
7/1/2022,218.720136
8/1/2022,218.3792
9/1/2022,219.238174
10/1/2022,219.496862
11/1/2022,217.317442
